tournament,link
2015 EU Challenger Series/Summer Playoffs,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Summer_Playoffs/Match_History
2015 EU Challenger Series/Summer Season,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Summer_Season/Match_History
2015 GPL Spring,http://lol.esportspedia.com/wiki/2015_GPL_Spring/Match_History
2015 GPL Spring/Playoffs/,http://lol.esportspedia.com/wiki/2015_GPL_Spring/Playoffs/Match_History
2015 GPL Spring/Playoffs,http://lol.esportspedia.com/wiki/2015_GPL_Spring/Playoffs/Match_History
2015 GPL Summer,http://lol.esportspedia.com/wiki/2015_GPL_Summer/Match_History
2015 GPL Summer/Playoffs,http://lol.esportspedia.com/wiki/2015_GPL_Summer/Playoffs/Match_History
2015 International Wild Card Invitational,http://lol.esportspedia.com/wiki/2015_International_Wild_Card_Invitational/Match_History
2015 International Wildcard Tournament/Chile,http://lol.esportspedia.com/wiki/2015_International_Wildcard_Tournament/Chile/Match_History
2015 International Wildcard Tournament/Turkey,http://lol.esportspedia.com/wiki/2015_International_Wildcard_Tournament/Turkey/Match_History
2015 LPL/Spring/Playoffs,http://lol.esportspedia.com/wiki/2015_LPL/Spring/Playoffs/Match_History
2015 LPL/Spring/Regular Season,http://lol.esportspedia.com/wiki/2015_LPL/Spring/Regular_Season/Match_History
2015 LPL/Summer/Playoffs,http://lol.esportspedia.com/wiki/2015_LPL/Summer/Playoffs/Match_History
2015 LPL/Summer/Promotion,http://lol.esportspedia.com/wiki/2015_LPL/Summer/Promotion/Match_History
2015 LPL/Summer/Regular Season,http://lol.esportspedia.com/wiki/2015_LPL/Summer/Regular_Season/Match_History
2015 Mid-Season Invitational,http://lol.esportspedia.com/wiki/2015_Mid-Season_Invitational/Match_History
2015 NA Challenger Series/Summer Playoffs,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Summer_Playoffs/Match_History
2015 NA Challenger Series/Summer Season,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Summer_Season/Match_History
2015 Season Europe Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_Europe_Regional_Finals/Match_History
2015 Season Korea Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_Korea_Regional_Finals/Match_History
2015 Season North America Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_North_America_Regional_Finals/Match_History
2015 Season Southeast Asia Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_Southeast_Asia_Regional_Finals/Match_History
2015 Season World Championship,http://lol.esportspedia.com/wiki/2015_Season_World_Championship/Match_History
2015 Turkish Champions League/Summer Playoffs,http://lol.esportspedia.com/wiki/2015_Turkish_Champions_League/Summer_Playoffs/Match_History
CBLOL/2015 Season/Summer Playoffs,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Summer_Playoffs/Match_History
CBLOL/2015 Season/Summer Season,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Summer_Season/Match_History
CBLOL/2015 Season/Winter Playoffs,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Winter_Playoffs/Match_History
CBLOL/2015 Season/Winter Season,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Winter_Season/Match_History
IEM Season VII - Global Challenge Cologne,http://lol.esportspedia.com/wiki/IEM_Season_VII_-_Global_Challenge_Cologne/Match_History
IGN ProLeague Season 5,http://lol.esportspedia.com/wiki/IGN_ProLeague_Season_5/Match_History
Latin America Cup 2015/Closing Cup/Grand Final,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/Closing_Cup/Grand_Final/Match_History
LCK/2016 Season/Spring Promotion,http://lol.esportspedia.com/wiki/LCK/2016_Season/Spring_Promotion/Match_History
League Championship Series/Europe/2016 Season/Spring Promotion,http://lol.esportspedia.com/wiki/League_Championship_Series/Europe/2016_Season/Spring_Promotion/Match_History
League Championship Series/North America/2016 Season/Spring Promotion,http://lol.esportspedia.com/wiki/League_Championship_Series/North_America/2016_Season/Spring_Promotion/Match_History
LMS/2015 Season/Spring Playoffs,http://lol.esportspedia.com/wiki/LMS/2015_Season/Spring_Playoffs/Match_History
LMS/2015 Season/Spring Season,http://lol.esportspedia.com/wiki/LMS/2015_Season/Spring_Season/Match_History
LMS/2015 Season/Summer Playoffs,http://lol.esportspedia.com/wiki/LMS/2015_Season/Summer_Playoffs/Match_History
LMS/2015 Season/Summer Season,http://lol.esportspedia.com/wiki/LMS/2015_Season/Summer_Season/Match_History
OPL/2015 Season/Split 1 Playoffs,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_1_Playoffs/Match_History
OPL/2015 Season/Split 1,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_1/Match_History
OPL/2015 Season/Split 2 Playoffs,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_2_Playoffs/Match_History
OPL/2015 Season/Split 2,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_2/Match_History
OPL/2016 Season/Split 1 Promotion,http://lol.esportspedia.com/wiki/OPL/2016_Season/Split_1_Promotion/Match_History
Recent Games Match History,http://lol.esportspedia.com/wiki/Recent_Games_Match_History
Riot League Championship Series/Europe/2015 Season/Spring Expansion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Expansion/Match_History
Riot League Championship Series/Europe/2015 Season/Spring Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Playoffs/Match_History
Riot League Championship Series/Europe/2015 Season/Spring Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Promotion/Match_History
Riot League Championship Series/Europe/2015 Season/Spring Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Season/Match_History
Riot League Championship Series/Europe/2015 Season/Summer Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Summer_Playoffs/Match_History
Riot League Championship Series/Europe/2015 Season/Summer Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Summer_Promotion/Match_History
Riot League Championship Series/Europe/2015 Season/Summer Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Summer_Season/Match_History
Riot League Championship Series/North America/2015 Season/Spring Expansion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Expansion/Match_History
Riot League Championship Series/North America/2015 Season/Spring Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Playoffs/Match_History
Riot League Championship Series/North America/2015 Season/Spring Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Promotion/Match_History
Riot League Championship Series/North America/2015 Season/Spring Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Season/Match_History
Riot League Championship Series/North America/2015 Season/Summer Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Summer_Playoffs/Match_History
Riot League Championship Series/North America/2015 Season/Summer Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Summer_Promotion/Match_History
Riot League Championship Series/North America/2015 Season/Summer Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Summer_Season/Match_History
SBENU Champions Spring 2015,http://lol.esportspedia.com/wiki/SBENU_Champions_Spring_2015/Match_History
SBENU Champions Summer 2015,http://lol.esportspedia.com/wiki/SBENU_Champions_Summer_2015/Match_History
SBENU Champions Summer 2015/Playoffs,http://lol.esportspedia.com/wiki/SBENU_Champions_Summer_2015/Playoffs/Match_History
Season 2 World Championship,http://lol.esportspedia.com/wiki/Season_2_World_Championship/Match_History
